flag provided but not defined: -addr
Usage of C:\Users\Fwind43\Desktop\code\GenericAgent-Admin-Go\GenericAgent-Admin-Go.exe:
  -headless
    	run without browser, tray, or desktop pet; intended for Linux servers
  -no-browser
    	do not open the web UI automatically
  -port int
    	override HTTP listen port for this launch (1-65535)
  -server-only
    	alias for --headless

--- restart with -port 8799 ---
2026/06/25 10:03:03 desktop pet action=review ticks=18 loop=true
2026/06/25 10:03:18 desktop pet action=waving ticks=14 loop=false
2026/06/25 10:03:33 desktop pet action=jumping ticks=16 loop=false
2026/06/25 10:03:48 desktop pet action=waiting ticks=18 loop=true
2026/06/25 10:04:04 desktop pet action=running ticks=18 loop=true
2026/06/25 10:04:20 desktop pet action=review ticks=18 loop=true
2026/06/25 10:04:37 desktop pet action=waving ticks=14 loop=false
2026/06/25 10:04:53 desktop pet action=jumping ticks=16 loop=false
2026/06/25 10:05:10 desktop pet action=waiting ticks=18 loop=true
2026/06/25 10:05:27 desktop pet action=running ticks=18 loop=true
2026/06/25 10:05:42 desktop pet action=review ticks=18 loop=true
2026/06/25 10:05:56 desktop pet action=waving ticks=14 loop=false
2026/06/25 10:06:11 desktop pet action=jumping ticks=16 loop=false
2026/06/25 10:06:26 desktop pet action=waiting ticks=18 loop=true
2026/06/25 10:06:42 desktop pet action=running ticks=18 loop=true
2026/06/25 10:06:58 desktop pet action=review ticks=18 loop=true
2026/06/25 10:07:14 desktop pet action=waving ticks=14 loop=false
2026/06/25 10:07:30 desktop pet action=jumping ticks=16 loop=false
2026/06/25 10:07:47 desktop pet action=waiting ticks=18 loop=true
2026/06/25 10:08:04 desktop pet action=running ticks=18 loop=true
2026/06/25 10:08:22 desktop pet action=review ticks=18 loop=true
2026/06/25 10:08:36 desktop pet action=waving ticks=14 loop=false
2026/06/25 10:08:51 desktop pet action=jumping ticks=16 loop=false
2026/06/25 10:09:06 desktop pet action=waiting ticks=18 loop=true
2026/06/25 10:09:22 desktop pet action=running ticks=18 loop=true
